id_fatura,filial,cidade,tipo_cliente,genero,linha_produto,preco_unitario,quantidade,imposto_5pct,total,data,hora,minuto,forma_pagamento,custo_produtos,margem_bruta_pct,lucro_bruto,avaliacao,ano,mes,dia,trimestre,semana_ano,mes_nome,dia_semana,periodo_dia,dia_util,quinzena,eh_fim_semana,data_visual,ticket_medio_por_item,valor_sem_imposto,lucro_por_item,percentual_imposto_real,eficiencia_venda,margem_liquida_pct,intensidade_compra,densidade_valor,indice_satisfacao_ajustado,avaliacao_ponderada,score_valor_cliente,faixa_avaliacao,categoria_horario_pico,categoria_ticket,perfil_compra
351-62-0822,B,Mandalay,Membro,Feminino,Acessórios de Moda,14.48,4,2.896,60.816,2019-02-06,18,7,Carteira Digital,57.92,4.761904762,2.896,4.5,2019,2,6,1,6,Fevereiro,Quarta-feira,Noite,Sim,Primeira Quinzena,0,06/02/2019,15.204,57.92,0.724,4.761904761904762,5.0,4.761904761904762,57.92,15.204,0.2624773413897281,18.0,27.83313192346425,Insatisfeito,Horário de Pico,Econômico,Comprador Econômico
529-56-3974,B,Mandalay,Membro,Masculino,Acessórios Eletrônicos,25.51,4,5.102,107.142,2019-03-09,17,3,Dinheiro,102.04,4.761904762,5.102,6.8,2019,3,9,1,10,Março,Sábado,Tarde,Não,Primeira Quinzena,1,09/03/2019,26.7855,102.03999999999999,1.2755,4.761904761904763,5.0,4.761904761904763,102.04,26.7855,0.6987633434038266,27.2,36.5103726082578,Neutro,Horário Normal,Econômico,Comprador Econômico
365-64-0515,A,Yangon,Normal,Feminino,Acessórios Eletrônicos,46.95,5,11.7375,246.4875,2019-02-12,10,25,Carteira Digital,234.75,4.761904762,11.7375,7.1,2019,2,12,1,7,Fevereiro,Terça-feira,Manhã,Sim,Primeira Quinzena,0,12/02/2019,49.2975,234.75,2.3475,4.761904761904762,5.0,4.761904761904762,234.75,49.2975,1.6784743202416919,35.5,45.756193353474316,Satisfeito,Horário de Pico,Padrão,Comprador Econômico
252-56-2699,A,Yangon,Normal,Masculino,Alimentos e Bebidas,43.19,10,21.595,453.495,2019-02-07,16,48,Carteira Digital,431.9,4.761904762,21.595,8.2,2019,2,7,1,6,Fevereiro,Quinta-feira,Tarde,Sim,Primeira Quinzena,0,07/02/2019,45.3495,431.9,2.1595,4.761904761904762,5.0,4.761904761904762,431.9,45.3495,3.5665458207452163,82.0,71.99778449144007,Satisfeito,Horário Normal,Premium,Comprador Padrão
829-34-3910,A,Yangon,Normal,Feminino,Saúde e Beleza,71.38,10,35.69,749.49,2019-03-29,19,21,Dinheiro,713.8,4.761904762,35.69,5.7,2019,3,29,1,13,Março,Sexta-feira,Noite,Sim,Segunda Quinzena,0,29/03/2019,74.949,713.8,3.569,4.761904761904762,5.0,4.761904761904762,713.8,74.949,4.097341389728096,57.0,75.85327291037261,Neutro,Horário de Pico,VIP,Comprador Premium
299-46-1805,B,Mandalay,Membro,Feminino,Esportes e Viagem,93.72,6,28.116,590.436,2019-01-15,16,19,Dinheiro,562.32,4.761904762,28.116,4.5,2019,1,15,1,3,Janeiro,Terça-feira,Tarde,Sim,Primeira Quinzena,0,15/01/2019,98.406,562.32,4.686,4.761904761904762,5.0,4.761904761904762,562.3199999999999,98.406,2.548277945619335,27.0,54.15135951661632,Insatisfeito,Horário Normal,VIP,Comprador Premium
656-95-9349,A,Yangon,Membro,Feminino,Saúde e Beleza,68.93,7,24.1255,506.6355,2019-03-11,11,3,Cartão de Crédito,482.51,4.761904762,24.1255,4.6,2019,3,11,1,11,Março,Segunda-feira,Manhã,Sim,Primeira Quinzena,0,11/03/2019,72.3765,482.51,3.4465,4.761904761904762,5.0,4.761904761904762,482.51000000000005,72.3765,2.2351923464249746,32.199999999999996,54.23645518630412,Insatisfeito,Horário de Pico,VIP,Comprador Premium
765-26-6951,A,Yangon,Normal,Masculino,Esportes e Viagem,72.61,6,21.783,457.443,2019-01-01,10,39,Cartão de Crédito,435.66,4.761904762,21.783,6.9,2019,1,1,1,1,Janeiro,Terça-feira,Manhã,Sim,Primeira Quinzena,0,01/01/2019,76.2405,435.65999999999997,3.6305,4.761904761904763,5.0,4.761904761904763,435.65999999999997,76.2405,3.0272447129909366,41.400000000000006,56.24924471299093,Neutro,Horário de Pico,Premium,Comprador Padrão
329-62-1586,A,Yangon,Normal,Masculino,Alimentos e Bebidas,54.67,3,8.2005,172.2105,2019-01-21,18,0,Cartão de Crédito,164.01,4.761904762,8.2005,8.6,2019,1,21,1,4,Janeiro,Segunda-feira,Noite,Sim,Segunda Quinzena,0,21/01/2019,57.4035,164.01,2.7335,4.761904761904762,5.0,4.761904761904762,164.01,57.4035,1.420429003021148,25.799999999999997,41.40664652567976,Muito Satisfeito,Horário de Pico,Padrão,Comprador Econômico
319-50-3348,B,Mandalay,Normal,Feminino,Casa e Estilo de Vida,40.3,2,4.03,84.63,2019-03-11,15,30,Carteira Digital,80.6,4.761904762,4.03,4.4,2019,3,11,1,11,Março,Segunda-feira,Tarde,Sim,Primeira Quinzena,0,11/03/2019,42.315,80.6,2.015,4.761904761904763,5.000000000000001,4.761904761904763,80.6,42.315,0.3571399798590131,8.8,22.44672708962739,Insatisfeito,Horário de Pico,Econômico,Comprador Econômico
300-71-4605,C,Naypyitaw,Membro,Masculino,Acessórios Eletrônicos,86.04,5,21.51,451.71,2019-02-25,11,24,Carteira Digital,430.2,4.761904762,21.51,4.8,2019,2,25,1,9,Fevereiro,Segunda-feira,Manhã,Sim,Segunda Quinzena,0,25/02/2019,90.342,430.2,4.3020000000000005,4.761904761904763,5.0,4.761904761904763,430.20000000000005,90.342,2.079516616314199,24.0,46.72930513595166,Insatisfeito,Horário de Pico,Premium,Comprador Padrão
371-85-5789,B,Mandalay,Normal,Masculino,Saúde e Beleza,87.98,3,13.197,277.137,2019-03-05,10,40,Carteira Digital,263.94,4.761904762,13.197,5.1,2019,3,5,1,10,Março,Terça-feira,Manhã,Sim,Primeira Quinzena,0,05/03/2019,92.379,263.94,4.399,4.761904761904762,5.0,4.761904761904762,263.94,92.379,1.3555830815709966,15.299999999999999,34.93202416918429,Neutro,Horário de Pico,Premium,Comprador Padrão
273-16-6619,B,Mandalay,Normal,Masculino,Casa e Estilo de Vida,33.2,2,3.32,69.72,2019-03-15,12,20,Cartão de Crédito,66.4,4.761904762,3.32,4.4,2019,3,15,1,11,Março,Sexta-feira,Tarde,Sim,Primeira Quinzena,0,15/03/2019,34.86,66.4,1.66,4.761904761904762,5.0,4.761904761904762,66.4,34.86,0.2942195367573011,8.8,21.87472306143001,Insatisfeito,Horário de Pico,Econômico,Comprador Econômico
636-48-8204,A,Yangon,Normal,Masculino,Acessórios Eletrônicos,34.56,5,8.64,181.44,2019-02-17,11,15,Carteira Digital,172.8,4.761904762,8.64,9.9,2019,2,17,1,7,Fevereiro,Domingo,Manhã,Não,Segunda Quinzena,1,17/02/2019,36.288,172.8,1.7280000000000002,4.761904761904763,5.0,4.761904761904763,172.8,36.288,1.7227794561933532,49.5,51.6607250755287,Muito Satisfeito,Horário de Pico,Padrão,Comprador Econômico
549-59-1358,A,Yangon,Membro,Masculino,Esportes e Viagem,88.63,3,13.2945,279.1845,2019-03-02,17,36,Carteira Digital,265.89,4.761904762,13.2945,6.0,2019,3,2,1,9,Março,Sábado,Tarde,Não,Primeira Quinzena,1,02/03/2019,93.06150000000001,265.89,4.4315,4.761904761904762,5.0,4.761904761904762,265.89,93.06150000000001,1.6065861027190333,18.0,37.710574018126884,Neutro,Horário Normal,Premium,Comprador Padrão
227-03-5010,A,Yangon,Membro,Feminino,Casa e Estilo de Vida,52.59,8,21.036,441.756,2019-03-22,19,20,Cartão de Crédito,420.72,4.761904762,21.036,8.5,2019,3,22,1,12,Março,Sexta-feira,Noite,Sim,Segunda Quinzena,0,22/03/2019,55.2195,420.71999999999997,2.6295,4.761904761904763,5.0,4.761904761904763,420.72,55.2195,3.6013293051359514,68.0,66.44743202416919,Satisfeito,Horário de Pico,Premium,Comprador Padrão
649-29-6775,B,Mandalay,Normal,Masculino,Acessórios de Moda,33.52,1,1.676,35.196,2019-02-08,15,31,Dinheiro,33.52,4.761904762,1.676,6.7,2019,2,8,1,6,Fevereiro,Sexta-feira,Tarde,Sim,Primeira Quinzena,0,08/02/2019,35.196,33.519999999999996,1.676,4.761904761904763,5.0,4.761904761904763,33.52,35.196,0.22616717019133936,6.7,24.450251762336357,Neutro,Horário de Pico,Econômico,Comprador Econômico
189-17-4241,A,Yangon,Normal,Feminino,Acessórios de Moda,87.67,2,8.767,184.107,2019-03-10,12,17,Cartão de Crédito,175.34,4.761904762,8.767,7.7,2019,3,10,1,10,Março,Domingo,Tarde,Não,Primeira Quinzena,1,10/03/2019,92.0535,175.34,4.3835,4.761904761904762,5.0,4.761904761904762,175.34,92.0535,1.3596354481369588,15.4,36.16304128902316,Satisfeito,Horário de Pico,Padrão,Comprador Econômico
145-94-9061,B,Mandalay,Normal,Feminino,Alimentos e Bebidas,88.36,5,22.09,463.89,2019-01-25,19,48,Dinheiro,441.8,4.761904762,22.09,9.6,2019,1,25,1,4,Janeiro,Sexta-feira,Noite,Sim,Segunda Quinzena,0,25/01/2019,92.77799999999999,441.8,4.418,4.761904761904763,5.0,4.761904761904763,441.8,92.77799999999999,4.271178247734138,48.0,61.59657603222557,Muito Satisfeito,Horário de Pico,Premium,Comprador Padrão
848-62-7243,A,Yangon,Normal,Masculino,Saúde e Beleza,24.89,9,11.2005,235.2105,2019-03-15,15,36,Dinheiro,224.01,4.761904762,11.2005,7.4,2019,3,15,1,11,Março,Sexta-feira,Tarde,Sim,Primeira Quinzena,0,15/03/2019,26.1345,224.01,1.2445,4.761904761904762,5.0,4.761904761904762,224.01,26.1345,1.6693595166163142,66.60000000000001,58.223564954682786,Satisfeito,Horário de Pico,Padrão,Comprador Volume
871-79-8483,B,Mandalay,Normal,Masculino,Acessórios de Moda,94.13,5,23.5325,494.1825,2019-02-25,19,39,Cartão de Crédito,470.65,4.761904762,23.5325,4.8,2019,2,25,1,9,Fevereiro,Segunda-feira,Noite,Sim,Segunda Quinzena,0,25/02/2019,98.8365,470.65,4.7065,4.761904761904762,5.0,4.761904761904762,470.65,98.8365,2.2750453172205436,24.0,48.35871097683786,Insatisfeito,Horário de Pico,VIP,Comprador Padrão
149-71-6266,B,Mandalay,Membro,Masculino,Esportes e Viagem,78.07,9,35.1315,737.7615,2019-01-28,12,43,Dinheiro,702.63,4.761904762,35.1315,4.5,2019,1,28,1,5,Janeiro,Segunda-feira,Tarde,Sim,Segunda Quinzena,0,28/01/2019,81.9735,702.63,3.9035,4.761904761904763,5.0,4.761904761904763,702.6299999999999,81.9735,3.184123867069486,40.5,68.80332326283988,Insatisfeito,Horário de Pico,VIP,Comprador Premium
640-49-2076,B,Mandalay,Normal,Masculino,Esportes e Viagem,83.78,8,33.512,703.752,2019-01-10,14,49,Dinheiro,670.24,4.761904762,33.512,5.1,2019,1,10,1,2,Janeiro,Quinta-feira,Tarde,Sim,Primeira Quinzena,0,10/01/2019,87.969,670.24,4.189,4.761904761904763,5.0,4.761904761904763,670.24,87.969,3.442320241691842,40.8,66.29859013091641,Neutro,Horário de Pico,VIP,Comprador Premium
595-11-5460,A,Yangon,Normal,Masculino,Saúde e Beleza,96.58,2,9.658,202.818,2019-03-15,10,12,Cartão de Crédito,193.16,4.761904762,9.658,5.1,2019,3,15,1,11,Março,Sexta-feira,Manhã,Sim,Primeira Quinzena,0,15/03/2019,101.409,193.16000000000003,4.829,4.761904761904762,5.0,4.761904761904762,193.16,101.409,0.992060422960725,10.2,29.08086606243706,Neutro,Horário de Pico,Padrão,Comprador Econômico
183-56-6882,C,Naypyitaw,Membro,Feminino,Alimentos e Bebidas,99.42,4,19.884,417.564,2019-02-06,10,42,Carteira Digital,397.68,4.761904762,19.884,7.5,2019,2,6,1,6,Fevereiro,Quarta-feira,Manhã,Sim,Primeira Quinzena,0,06/02/2019,104.391,397.68,4.971,4.761904761904762,5.0,4.761904761904762,397.68,104.391,3.0036253776435045,30.0,50.519335347432026,Satisfeito,Horário de Pico,Premium,Comprador Padrão
232-16-2483,C,Naypyitaw,Membro,Feminino,Esportes e Viagem,68.12,1,3.406,71.526,2019-01-07,12,28,Carteira Digital,68.12,4.761904762,3.406,6.8,2019,1,7,1,2,Janeiro,Segunda-feira,Tarde,Sim,Primeira Quinzena,0,07/01/2019,71.526,68.11999999999999,3.406,4.761904761904763,5.0,4.761904761904763,68.12,71.526,0.4664813695871097,6.8,26.144008056394764,Neutro,Horário de Pico,Econômico,Comprador Econômico
129-29-8530,A,Yangon,Membro,Masculino,Esportes e Viagem,62.62,5,15.655,328.755,2019-03-10,19,15,Carteira Digital,313.1,4.761904762,15.655,7.0,2019,3,10,1,10,Março,Domingo,Noite,Não,Primeira Quinzena,1,10/03/2019,65.751,313.1,3.131,4.761904761904762,5.0,4.761904761904762,313.09999999999997,65.751,2.207150050352467,35.0,48.612286002014095,Neutro,Horário de Pico,Premium,Comprador Padrão
272-65-1806,A,Yangon,Normal,Feminino,Acessórios Eletrônicos,60.88,9,27.396,575.316,2019-01-15,17,17,Carteira Digital,547.92,4.761904762,27.396,4.7,2019,1,15,1,3,Janeiro,Terça-feira,Tarde,Sim,Primeira Quinzena,0,15/01/2019,63.92400000000001,547.9200000000001,3.044,4.761904761904762,5.0,4.761904761904762,547.9200000000001,63.92400000000001,2.5933776435045317,42.300000000000004,63.1712990936556,Insatisfeito,Horário Normal,VIP,Comprador Premium
333-73-7901,C,Naypyitaw,Normal,Feminino,Saúde e Beleza,54.92,8,21.968,461.328,2019-03-23,13,24,Carteira Digital,439.36,4.761904762,21.968,7.6,2019,3,23,1,12,Março,Sábado,Tarde,Não,Segunda Quinzena,1,23/03/2019,57.666,439.35999999999996,2.746,4.761904761904763,5.0,4.761904761904763,439.36,57.666,3.362674723061429,60.8,64.49828801611278,Satisfeito,Horário de Pico,Premium,Comprador Padrão
777-82-7220,B,Mandalay,Membro,Masculino,Casa e Estilo de Vida,30.12,8,12.048,253.008,2019-03-03,13,1,Dinheiro,240.96,4.761904762,12.048,7.7,2019,3,3,1,9,Março,Domingo,Tarde,Não,Primeira Quinzena,1,03/03/2019,31.626,240.96,1.506,4.761904761904762,5.0,4.761904761904762,240.96,31.626,1.8684712990936554,61.6,56.80634441087613,Satisfeito,Horário de Pico,Padrão,Comprador Volume
280-35-5823,B,Mandalay,Membro,Feminino,Casa e Estilo de Vida,86.72,1,4.336,91.056,2019-01-17,18,45,Carteira Digital,86.72,4.761904762,4.336,7.9,2019,1,17,1,3,Janeiro,Quinta-feira,Noite,Sim,Segunda Quinzena,0,17/01/2019,91.056,86.72,4.336,4.761904761904763,5.0,4.761904761904763,86.72,91.056,0.6899174219536757,7.9,30.193252769385698,Satisfeito,Horário de Pico,Econômico,Comprador Econômico
554-53-8700,C,Naypyitaw,Membro,Masculino,Casa e Estilo de Vida,56.11,2,5.611,117.831,2019-02-02,10,11,Dinheiro,112.22,4.761904762,5.611,6.3,2019,2,2,1,5,Fevereiro,Sábado,Manhã,Não,Primeira Quinzena,1,02/02/2019,58.9155,112.22,2.8055,4.761904761904762,5.0,4.761904761904762,112.22,58.9155,0.7119697885196373,12.6,29.420443101711985,Neutro,Horário de Pico,Econômico,Comprador Econômico
354-25-5821,B,Mandalay,Membro,Feminino,Esportes e Viagem,69.12,6,20.736,435.456,2019-02-08,13,3,Dinheiro,414.72,4.761904762,20.736,5.6,2019,2,8,1,6,Fevereiro,Sexta-feira,Tarde,Sim,Primeira Quinzena,0,08/02/2019,72.57600000000001,414.72,3.456,4.761904761904762,5.0,4.761904761904762,414.72,72.57600000000001,2.3388036253776434,33.599999999999994,51.50574018126888,Neutro,Horário de Pico,Premium,Comprador Padrão
228-96-1411,C,Naypyitaw,Membro,Feminino,Alimentos e Bebidas,98.7,8,39.48,829.08,2019-03-04,20,39,Dinheiro,789.6,4.761904762,39.48,7.6,2019,3,4,1,10,Março,Segunda-feira,Noite,Sim,Primeira Quinzena,0,04/03/2019,103.635,789.6,4.935,4.761904761904761,5.0,4.761904761904761,789.6,103.635,6.043262839879154,60.8,78.60664652567976,Satisfeito,Horário de Pico,VIP,Comprador Premium
617-15-4209,C,Naypyitaw,Membro,Masculino,Saúde e Beleza,15.37,2,1.537,32.277,2019-03-16,19,47,Dinheiro,30.74,4.761904762,1.537,7.2,2019,3,16,1,11,Março,Sábado,Noite,Não,Segunda Quinzena,1,16/03/2019,16.1385,30.740000000000002,0.7685,4.761904761904762,5.0,4.761904761904762,30.74,16.1385,0.22288821752265858,14.4,28.83826787512588,Satisfeito,Horário de Pico,Econômico,Comprador Econômico
132-32-9879,B,Mandalay,Membro,Feminino,Acessórios Eletrônicos,93.96,4,18.792,394.632,2019-03-09,18,0,Dinheiro,375.84,4.761904762,18.792,9.5,2019,3,9,1,10,Março,Sábado,Noite,Não,Primeira Quinzena,1,09/03/2019,98.658,375.84000000000003,4.698,4.761904761904763,5.000000000000001,4.761904761904763,375.84,98.658,3.595649546827794,38.0,55.63957703927491,Muito Satisfeito,Horário de Pico,Premium,Comprador Padrão
370-41-7321,B,Mandalay,Membro,Masculino,Saúde e Beleza,56.69,9,25.5105,535.7205,2019-02-27,17,24,Cartão de Crédito,510.21,4.761904762,25.5105,8.4,2019,2,27,1,9,Fevereiro,Quarta-feira,Tarde,Sim,Segunda Quinzena,0,27/02/2019,59.5245,510.21000000000004,2.8345000000000002,4.761904761904762,5.0,4.761904761904762,510.21,59.5245,4.31597583081571,75.60000000000001,72.75226586102718,Satisfeito,Horário Normal,VIP,Comprador Premium
727-46-3608,B,Mandalay,Membro,Feminino,Alimentos e Bebidas,20.01,9,9.0045,189.0945,2019-02-06,15,47,Carteira Digital,180.09,4.761904762,9.0045,4.1,2019,2,6,1,6,Fevereiro,Quarta-feira,Tarde,Sim,Primeira Quinzena,0,06/02/2019,21.0105,180.09,1.0005,4.761904761904762,5.0,4.761904761904762,180.09,21.0105,0.7435740181268882,36.9,46.55438066465257,Insatisfeito,Horário de Pico,Padrão,Comprador Volume
669-54-1719,B,Mandalay,Membro,Masculino,Acessórios Eletrônicos,18.93,6,5.679,119.259,2019-02-10,12,45,Cartão de Crédito,113.58,4.761904762,5.679,8.1,2019,2,10,1,6,Fevereiro,Domingo,Tarde,Não,Primeira Quinzena,1,10/02/2019,19.8765,113.58,0.9465,4.761904761904763,5.0,4.761904761904763,113.58,19.8765,0.9264833836858005,48.599999999999994,46.87522658610271,Satisfeito,Horário de Pico,Econômico,Comprador Econômico
574-22-5561,C,Naypyitaw,Membro,Feminino,Acessórios de Moda,82.63,10,41.315,867.615,2019-03-19,17,8,Carteira Digital,826.3,4.761904762,41.315,7.9,2019,3,19,1,12,Março,Terça-feira,Tarde,Sim,Segunda Quinzena,0,19/03/2019,86.7615,826.3,4.1315,4.761904761904762,5.0,4.761904761904762,826.3,86.7615,6.573786505538771,79.0,86.98499496475327,Satisfeito,Horário Normal,VIP,Comprador Premium
326-78-5178,C,Naypyitaw,Membro,Masculino,Alimentos e Bebidas,91.4,7,31.99,671.79,2019-02-03,10,19,Dinheiro,639.8,4.761904762,31.99,9.5,2019,2,3,1,5,Fevereiro,Domingo,Manhã,Não,Primeira Quinzena,1,03/02/2019,95.97,639.8,4.569999999999999,4.761904761904762,5.0,4.761904761904762,639.8000000000001,95.97,6.120946626384692,66.5,75.27240684793554,Muito Satisfeito,Horário de Pico,VIP,Comprador Premium
162-48-8011,A,Yangon,Membro,Feminino,Alimentos e Bebidas,44.59,5,11.1475,234.0975,2019-02-10,15,10,Dinheiro,222.95,4.761904762,11.1475,8.5,2019,2,10,1,6,Fevereiro,Domingo,Tarde,Não,Primeira Quinzena,1,10/02/2019,46.8195,222.95,2.2295000000000003,4.761904761904763,5.000000000000001,4.761904761904763,222.95000000000002,46.8195,1.9084340382678748,42.5,49.48086606243706,Satisfeito,Horário de Pico,Padrão,Comprador Econômico
616-24-2851,B,Mandalay,Membro,Feminino,Acessórios de Moda,17.87,4,3.574,75.054,2019-03-22,14,42,Carteira Digital,71.48,4.761904762,3.574,6.5,2019,3,22,1,12,Março,Sexta-feira,Tarde,Sim,Segunda Quinzena,0,22/03/2019,18.7635,71.48,0.8935,4.761904761904762,5.0,4.761904761904762,71.48,18.7635,0.46789526686807653,26.0,34.37935548841893,Neutro,Horário de Pico,Econômico,Comprador Econômico
778-71-5554,C,Naypyitaw,Membro,Masculino,Acessórios de Moda,15.43,1,0.7715,16.2015,2019-01-25,15,46,Cartão de Crédito,15.43,4.761904762,0.7715,6.1,2019,1,25,1,4,Janeiro,Sexta-feira,Tarde,Sim,Segunda Quinzena,0,25/01/2019,16.2015,15.43,0.7715,4.761904761904762,5.0,4.761904761904762,15.43,16.2015,0.09478650553877138,6.1,21.921550855991946,Neutro,Horário de Pico,Econômico,Comprador Econômico
242-55-6721,B,Mandalay,Normal,Masculino,Casa e Estilo de Vida,16.16,2,1.616,33.936,2019-03-07,11,49,Carteira Digital,32.32,4.761904762,1.616,6.5,2019,3,7,1,10,Março,Quinta-feira,Manhã,Sim,Primeira Quinzena,0,07/03/2019,16.968,32.32,0.808,4.761904761904763,5.0,4.761904761904763,32.32,16.968,0.2115609264853978,13.0,26.801913393756294,Neutro,Horário de Pico,Econômico,Comprador Econômico
399-46-5918,C,Naypyitaw,Normal,Feminino,Acessórios Eletrônicos,85.98,8,34.392,722.232,2019-02-28,19,1,Dinheiro,687.84,4.761904762,34.392,8.2,2019,2,28,1,9,Fevereiro,Quinta-feira,Noite,Sim,Segunda Quinzena,0,28/02/2019,90.279,687.8399999999999,4.299,4.761904761904763,5.0,4.761904761904763,687.84,90.279,5.680048338368579,65.6,76.30755287009063,Satisfeito,Horário de Pico,VIP,Comprador Premium
106-35-6779,A,Yangon,Membro,Masculino,Casa e Estilo de Vida,44.34,2,4.434,93.114,2019-03-27,11,26,Dinheiro,88.68,4.761904762,4.434,5.8,2019,3,27,1,13,Março,Quarta-feira,Manhã,Sim,Segunda Quinzena,0,27/03/2019,46.557,88.68,2.217,4.761904761904762,5.0,4.761904761904762,88.68,46.557,0.5179697885196375,11.6,26.972205438066467,Neutro,Horário de Pico,Econômico,Comprador Econômico
